title,author,year,publisher,language,genre,original_title,original_year,isbn,comments
The First Fifteen Lives of Harry August,Claire North,2014,Redhook Books,English,Fiction,The First Fifteen Lives of Harry August,2014,9780316399616,
The Will to Win,Robert Herjavec,2013,HarperCollins Publishers Ltd,English,Entrepreneurship,The Will to Win,2013,978-1-44340-987-2,
Joonista valgus,Lea Dali Lion,2015,Pilgrim,Estonian,Biography,Joonista valgus,2015,978-9949-529-75-9,
Kui kõik variseb kokku,Pema Chödrön,2008,Pilgrim,Estonian,Self-Help,When Things Fall Apart: Heart Advice for Difficult Times,1997,978-9985-9882-1-3,
Feel the Fear and Do it Anyway,Susan Jeffers,2007,Vermilion,English,Self-Help,Feel the Fear and Do it Anyway,2007,978-0-09-190707-5,
Hirmudest vabanemine. Kuidas elus võitjaks tulla ilma end kaotamata?,Dr Pippa Grange,2020,Pilgrim,Estonian,Self-Help,Fear Less. How to Win at Life Without Losing Yourself,2020,978-9949-099-38-2,
Happy-Happy,Lars-Johan Åge,2020,Pegasus,Estonian,Self-Help,Happy-Happy. Fem steg för att komma,2019,978-9916-606-77-3,
"Stressijuhtimise käsiraamat: Praktiline juhend, kuidas jääda rahulikuks, säilitada külma närvi ja vältida ärritumist",Eva Selhub,2020,Äripäev,Estonian,Self-Help,"The Stress Management Handbook: A Practical Guide to Staying Calm, Keeping Cool, and Avoiding Blow-Ups",2019,978-9949-694-46-4,
Sinu sisemine laps. Võti (peaaegu) kõigi probleemide lahendamiseks,Stefanie Stahl,2021,Helios,Estonian,Self-Help,Das Kind in dir muss Heimat finden. Der Schlüssel zur Lösung (fast) aller Probleme,2015,978-9916-656-21-1,
Pane paika oma piirid. Enese taasleidmise käsiraamat,Nedra Glover Tawwab,2021,Pilgrim,Estonian,Self-Help,"Set Boundaries, Find Peace. A Guide to Reclaiming Yourself",2021,978-9949-099-70-2,
Tunneme tundeid,Pille Teearu,2017,Pilgrim,Estonian,Self-Help,Tunneme tundeid,2017,978-9949-571-93-2,
"Üksindusse jäetud. Mis on lapseea emotsionaalne hüljatus, kuidas see mõjutab sinu suhteid ja mida selle lõpetamiseks ette võtta","Jonice Webb, Phd",2022,Väike Vanker,Estonian,Self-Help,Running on Empty. Overcome Your Childhood Emotional Neglect,2012,978-9949-9152-9-3,
"Armastus, vabadus, üksindus",Osho,2008,Pilgrim,Estonian,Self-Help,Love-Freedom-Aloneness. The koan of relationships,2001,978-9985-9882-2-0,
Minu Peterburi. Optimismi lühikursus,Mailis Hudilainen,2014,Petrone Print,Estonian,Traveling,Minu Peterburi. Optimisti lühikursus,2014,978-9949-511-68-6,
Eluterve pohhuist. Näpunäiteid stressivabaks eluks,Tom Valsberg,2019,Baraka,Estonian,Self-Help,Eluterve pohhuist. Näpunäiteid stressivabaks eluks,2019,978-9949-01-517-7,
